gene_name,sample_name,gene_family,aro_accession,drug_class,high_level_drug_class,resistance_mechanism,model_type,num_contigs,cutoff,contig_coverage_breadth,contig_percent_id,contig_species,num_reads,read_gene_id,read_coverage_breadth,read_coverage_depth,read_species,total_reads,rpm,dpm
MexF,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000804,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,1,Nudged,6.6792,98.59,Unknown taxonomy (chromosome or plasmid),6.0,ARO:3000804|ID:1300|Name:MexF|NCBI:AE004091.2,11.82,0.27,,28979272,0.21,0.01
MexH,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000807,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,tetracycline antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3000807|ID:1344|Name:MexH|NCBI:AE004091.2,7.91,0.16,,28979272,0.07,0.01
MexI,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000808,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,tetracycline antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,12.0,ARO:3000808|ID:1647|Name:MexI|NCBI:AE004091.2,26.67,0.4,Pseudomonas aeruginosa (chromosome): 2; Pseudomonas (chromosome): 7; ,28979272,0.41,0.01
MexL,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003710,macrolide antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,disinfecting agents and antiseptics; macrolide antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003710|ID:2219|Name:MexL|NCBI:AE004091.2,45.7,0.46,Pseudomonas aeruginosa (chromosome or plasmid): 2; ,28979272,0.07,0.02
MexT,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000814,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein overexpression,1,Nudged,25.8621,100.0,Pseudomonas aeruginosa (chromosome or plasmid),,,,,,28979272,0.0,0.0
MexV,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003030,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; macrolide antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003030|ID:2207|Name:MexV|NCBI:AE004091.2,15.21,0.26,Pseudomonas (chromosome or plasmid): 1; ,28979272,0.07,0.01
MexW,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003031,macrolide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; macrolide antibiotic; tetracycline antibiotic,antibiotic efflux,protein homolog,1,Nudged,6.7713,100.0,Unknown taxonomy (chromosome or plasmid),12.0,ARO:3003031|ID:2208|Name:MexW|NCBI:NC_002516.2,23.72,0.39,Pseudomonas aeruginosa (chromosome or plasmid): 2; ,28979272,0.41,0.01
MuxA,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004073,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3004073|ID:2717|Name:MuxA|NCBI:AE004091.2,14.29,0.29,Pseudomonas (chromosome or plasmid): 2; ,28979272,0.14,0.01
MuxB,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004074,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3004074|ID:2718|Name:MuxB|NCBI:AE004091.2,8.81,0.16,Pseudomonas (chromosome or plasmid): 2; ,28979272,0.14,0.01
MuxC,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004075,macrolide antibiotic; monobactam; tetracycline antibiotic; aminocoumarin antibiotic,aminocoumarin antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3004075|ID:2720|Name:MuxC|NCBI:AE004091.2,6.36,0.09,Pseudomonas aeruginosa (chromosome or plasmid): 2; ,28979272,0.07,0.0
OXA-486,App2_pt87_mNGS,OXA beta-lactamase,ARO:3003643,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,4.0,ARO:3003643|ID:3547|Name:OXA-486|NCBI:CP038661.1,13.05,0.26,,28979272,0.14,0.01
OpmD,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000809,fluoroquinolone antibiotic; tetracycline antibiotic; disinfecting agents and antiseptics,tetracycline antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3000809|ID:442|Name:OpmD|NCBI:AE004091.2,7.17,0.14,Pseudomonas (chromosome): 2; ,28979272,0.07,0.0
OpmH,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003682,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003682|ID:2195|Name:OpmH|NCBI:AE004091.2,20.15,0.2,Pseudomonas (chromosome): 2; ,28979272,0.07,0.01
OprJ,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000802,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; cephalosporin; penam; tetracycline antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; aminoglycoside antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; aminocoumarin antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,1,Nudged,16.875,100.0,Unknown taxonomy (chromosome or plasmid),6.0,ARO:3000802|ID:704|Name:OprJ|NCBI:U57969.1,30.9,0.61,,28979272,0.21,0.02
OprM,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000379,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,phenicol antibiotic; fluoroquinolone antibiotic; sulfonamide antibiotic; disinfecting agents and antiseptics; tetracycline antibiotic; peptide antibiotic; aminoglycoside antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; aminocoumarin antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3000379|ID:1305|Name:OprM|NCBI:AE004091.2,6.65,0.13,,28979272,0.07,0.0
OprN,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000805,fluoroquinolone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; fluoroquinolone antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3000805|ID:172|Name:OprN|NCBI:AE004091.2,20.16,0.2,,28979272,0.07,0.01
PNGM-1,App2_pt87_mNGS,PNGM beta-lactamase,ARO:3004571,carbapenem; cephalosporin; penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Nudged,1.5504,100.0,,,,,,,28979272,0.0,0.0
ParS,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump; Outer Membrane Porin (Opr),ARO:3005067,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; penem; disinfecting agents and antiseptics,phenicol antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; aminoglycoside antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux; reduced permeability to antibiotic,protein homolog,0,,,,,2.0,ARO:3005067|ID:3805|Name:ParS|NCBI:AE004091.2,4.12,0.08,,28979272,0.07,0.0
PmpM,App2_pt87_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3004077,fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; aminoglycoside antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3004077|ID:2734|Name:PmpM|NCBI:AE004091.2,12.34,0.2,Pseudomonas (chromosome): 2; ,28979272,0.07,0.01
Pseudomonas aeruginosa CpxR,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004054,macrolide antibiotic; fluoroquinolone antibiotic; monobactam; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; peptide antibiotic; aminocoumarin antibiotic; diaminopyrimidine antibiotic; sulfonamide antibiotic; phenicol antibiotic; penem,phenicol antibiotic; sulfonamide antibiotic; fluoroquinolone antibiotic; tetracycline antibiotic; peptide antibiotic; aminoglycoside antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; aminocoumarin antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3004054|ID:2685|Name:Pseudomonas_aeruginosa_CpxR|NCBI:LT673656.1,47.49,0.43,Pseudomonas (chromosome or plasmid): 2; ,28979272,0.14,0.01
Pseudomonas aeruginosa emrE,App2_pt87_mNGS,small multidrug resistance (SMR) antibiotic efflux pump,ARO:3004038,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Nudged,80.1802,100.0,Pseudomonas aeruginosa (chromosome),4.0,ARO:3004038|ID:2655|Name:Pseudomonas_aeruginosa_emrE|NCBI:AE004091.2,81.38,1.57,Pseudomonas aeruginosa (chromosome): 1; Pseudomonas (chromosome): 1; ,28979272,0.14,0.05
Pseudomonas aeruginosa soxR,App2_pt87_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump; resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3004107,fluoroquinolone antibiotic; cephalosporin; glycylcycline; penam; tetracycline antibiotic; rifamycin antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; rifamycin antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; tetracycline antibiotic; beta-lactam antibiotic,antibiotic target alteration; antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3004107|ID:2775|Name:Pseudomonas_aeruginosa_soxR|NCBI:AE004091.2,34.39,1.24,Pseudomonas (chromosome or plasmid): 4; ,28979272,0.14,0.04
QnrC,App2_pt87_mNGS,quinolone resistance protein (qnr),ARO:3002787,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target protection,protein homolog,1,Nudged,3.6036,100.0,,,,,,,28979272,0.0,0.0
Staphylococcus aureus GlpT with mutation conferring resistance to fosfomycin,App2_pt87_mNGS,antibiotic-resistant GlpT,ARO:3003901,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic target alteration,protein variant,1,Nudged,32.2296,98.63,Staphylococcus aureus (chromosome),,,,,,28979272,0.0,0.0
Staphylococcus aureus LmrS,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004572,macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,phenicol antibiotic; aminoglycoside antibiotic; macrolide antibiotic; diaminopyrimidine antibiotic; oxazolidinone antibiotic,antibiotic efflux,protein homolog,3,Nudged,99.7921,98.42333333333333,Staphylococcus aureus (chromosome),55.0,ARO:3004572|ID:3276|Name:Staphylococcus_aureus_LmrS|NCBI:CP000046.1,94.11,4.19,Staphylococcus aureus (chromosome): 36; ,28979272,1.9,0.14
Staphylococcus aureus murA with mutation conferring resistance to fosfomycin,App2_pt87_mNGS,antibiotic-resistant murA transferase,ARO:3003776,phosphonic acid antibiotic,phosphonic acid antibiotic,antibiotic target alteration,protein variant,1,Nudged,61.8483,100.0,Staphylococcus aureus (chromosome),,,,,,28979272,0.0,0.0
Staphylococcus aureus norA,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004667,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Nudged,14.91,100.0,Unknown taxonomy (chromosome),39.0,ARO:3004667|ID:3367|Name:Staphylococcus_aureus_norA|NCBI:D90119.1,79.09,3.45,Staphylococcus aureus (chromosome): 20; ,28979272,1.35,0.12
TEM-231,App2_pt87_mNGS,TEM beta-lactamase,ARO:3005262,monobactam; cephalosporin; penam; penem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,12.0,ARO:3005262|ID:3994|Name:TEM-231|NCBI:NG_056418.1,36.12,0.89,,28979272,0.41,0.03
TriA,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003679,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003679|ID:2192|Name:TriA|NCBI:AE004091.2,4.86,0.1,,28979272,0.07,0.0
TriC,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003681,disinfecting agents and antiseptics,disinfecting agents and antiseptics,antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003681|ID:2194|Name:TriC|NCBI:AE004091.2,2.79,0.06,,28979272,0.07,0.0
arlR,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000838,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,2,Nudged,90.4545,100.0,Staphylococcus aureus (chromosome),29.0,ARO:3000838|ID:1390|Name:arlR|NCBI:CP023390.1,100.0,3.83,Staphylococcus aureus (chromosome): 10; Staphylococcus epidermidis (chromosome): 1; ,28979272,1.0,0.13
arlS,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000839,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,2,Nudged,75.885,98.935,Staphylococcus aureus (chromosome),58.0,ARO:3000839|ID:182|Name:arlS|NCBI:CP000253.1,98.08,5.15,Staphylococcus aureus (chromosome): 24; ,28979272,2.0,0.18
arnA,App2_pt87_mNGS,pmr phosphoethanolamine transferase,ARO:3002985,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,2.0,ARO:3002985|ID:1643|Name:arnA|NCBI:AE004091.2,3.52,0.07,,28979272,0.07,0.0
basS,App2_pt87_mNGS,pmr phosphoethanolamine transferase,ARO:3003583,peptide antibiotic,peptide antibiotic,antibiotic target alteration; antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3003583|ID:249|Name:basS|NCBI:JQ340365.1,9.0,0.18,,28979272,0.07,0.01
bcr-1,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003801,bicyclomycin-like antibiotic,bicyclomycin-like antibiotic,antibiotic efflux,protein homolog,1,Nudged,19.1067,100.0,Pseudomonas (chromosome or plasmid),6.0,ARO:3003801|ID:2303|Name:bcr-1|NCBI:CP012901.1,43.42,0.65,Pseudomonas (chromosome or plasmid): 3; ,28979272,0.21,0.02
ceoB,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003010,fluoroquinolone antibiotic; aminoglycoside antibiotic,fluoroquinolone antibiotic; aminoglycoside antibiotic,antibiotic efflux,protein homolog,1,Nudged,0.6809,100.0,,,,,,,28979272,0.0,0.0
cprR,App2_pt87_mNGS,pmr phosphoethanolamine transferase,ARO:3005063,peptide antibiotic,peptide antibiotic,antibiotic target alteration; antibiotic efflux,protein homolog,0,,,,,2.0,ARO:3005063|ID:3803|Name:cprR|NCBI:AE004091.2,6.7,0.13,,28979272,0.07,0.0
cprS,App2_pt87_mNGS,pmr phosphoethanolamine transferase,ARO:3005064,peptide antibiotic,peptide antibiotic,antibiotic target alteration; antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3005064|ID:3804|Name:cprS|NCBI:AE004091.2,26.16,0.3,Pseudomonas aeruginosa (chromosome or plasmid): 1; ,28979272,0.14,0.01
efpA,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3003955,rifamycin antibiotic; isoniazid-like antibiotic,rifamycin antibiotic; isoniazid-like antibiotic,antibiotic efflux,protein homolog,1,Nudged,1.3183,100.0,,,,,,,28979272,0.0,0.0
kdpD,App2_pt87_mNGS,kdpDE,ARO:3004047,aminoglycoside antibiotic,aminoglycoside antibiotic,antibiotic efflux,protein homolog,3,Nudged,99.4357,98.31333333333335,,162.0,ARO:3004047|ID:5918|Name:kdpD|NCBI:FHDU01000010.1,99.55,6.34,,28979272,5.59,0.22
lsaC,App2_pt87_mNGS,lsa-type ABC-F protein,ARO:3003112,lincosamide antibiotic; streptogramin antibiotic; pleuromutilin antibiotic,lincosamide antibiotic; pleuromutilin antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,1,Nudged,1.4199,100.0,,,,,,,28979272,0.0,0.0
mdtB,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3000793,aminocoumarin antibiotic,aminocoumarin antibiotic,antibiotic efflux,protein homolog,1,Nudged,0.7685,100.0,,,,,,,28979272,0.0,0.0
mecB,App2_pt87_mNGS,methicillin resistant PBP2,ARO:3003440,penam,beta-lactam antibiotic,antibiotic target replacement,protein homolog,1,Nudged,1.037,100.0,,,,,,,28979272,0.0,0.0
mel,App2_pt87_mNGS,msr-type ABC-F protein,ARO:3000616,macrolide antibiotic; streptogramin antibiotic,macrolide antibiotic; streptogramin antibiotic,antibiotic target protection,protein homolog,1,Nudged,1.7241,100.0,,,,,,,28979272,0.0,0.0
mepA,App2_pt87_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000026,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,3,Nudged,95.1327,98.05666666666667,Staphylococcus aureus (chromosome or plasmid) Unknown taxonomy (chromosome or plasmid),71.0,ARO:3000026|ID:377|Name:mepA|NCBI:AY661734.1,95.43,4.97,Staphylococcus aureus (chromosome): 4; Staphylococcus aureus (chromosome or plasmid): 19; ,28979272,2.45,0.17
mepR,App2_pt87_mNGS,multidrug and toxic compound extrusion (MATE) transporter,ARO:3000746,glycylcycline; tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,1,Strict,99.2857,99.28,Staphylococcus aureus (chromosome or plasmid),28.0,ARO:3000746|ID:856|Name:mepR|NCBI:BA000017.4,100.0,5.97,Staphylococcus aureus (chromosome): 6; Staphylococcus aureus (chromosome or plasmid): 4; ,28979272,0.97,0.21
mexN,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003705,phenicol antibiotic,phenicol antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3003705|ID:2217|Name:mexN|NCBI:AB219523.1,7.52,0.13,,28979272,0.14,0.0
mexQ,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003699,macrolide antibiotic; carbapenem; tetracycline antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; disinfecting agents and antiseptics; macrolide antibiotic; diaminopyrimidine antibiotic; tetracycline antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,0,,,,,4.0,ARO:3003699|ID:2212|Name:mexQ|NCBI:AB219524.1,5.09,0.1,,28979272,0.14,0.0
mexY,App2_pt87_mNGS,resistance-nodulation-cell division (RND) antibiotic efflux pump,ARO:3003033,macrolide antibiotic; fluoroquinolone antibiotic; aminoglycoside antibiotic; carbapenem; cephalosporin; cephamycin; penam; tetracycline antibiotic; phenicol antibiotic; disinfecting agents and antiseptics,phenicol antibiotic; fluoroquinolone antibiotic; disinfecting agents and antiseptics; aminoglycoside antibiotic; tetracycline antibiotic; macrolide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,1,Nudged,8.3095,100.0,Pseudomonas aeruginosa (chromosome),6.0,ARO:3003033|ID:1786|Name:mexY|NCBI:AB015853.1,14.36,0.23,Pseudomonas aeruginosa (chromosome): 3; ,28979272,0.21,0.01
mgrA,App2_pt87_mNGS,ATP-binding cassette (ABC) antibiotic efflux pump; major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000815,fluoroquinolone antibiotic; cephalosporin; penam; tetracycline antibiotic; peptide antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics; tetracycline antibiotic; peptide antibiotic; beta-lactam antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.3243,100.0,Unknown taxonomy (chromosome),39.0,ARO:3000815|ID:154|Name:mgrA|NCBI:BA000018.3,100.0,8.94,,28979272,1.35,0.31
norC,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007010,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Strict,99.784,99.78,Staphylococcus aureus (chromosome or plasmid),99.0,ARO:3007010|ID:5726|Name:norC|NCBI:CP005288.1,100.0,7.48,Staphylococcus aureus (chromosome): 1; Staphylococcus aureus (chromosome or plasmid): 25; ,28979272,3.42,0.26
sdrM,App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3007013,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,2,Strict,84.1518,85.095,Staphylococcus aureus (chromosome),18.0,ARO:3007013|ID:5729|Name:sdrM|NCBI:BA000018.3,58.63,1.51,Staphylococcus aureus (chromosome): 10; ,28979272,0.62,0.05
tet(38),App2_pt87_mNGS,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000565,tetracycline antibiotic,tetracycline antibiotic,antibiotic efflux,protein homolog,2,Nudged,99.5565,99.735,Staphylococcus aureus (chromosome or plasmid),92.0,ARO:3000565|ID:1835|Name:tet(38)|NCBI:AY825285.1,100.0,7.08,Staphylococcus aureus (chromosome): 18; Staphylococcus aureus (chromosome or plasmid): 20; ,28979272,3.18,0.24
ICR-Mo,App2_pt88_culture,intrinsic colistin resistant phosphoethanolamine transferase,ARO:3004569,peptide antibiotic,peptide antibiotic,antibiotic target alteration,protein homolog,0,,,,,4.0,ARO:3004569|ID:3271|Name:ICR-Mo|NCBI:NZ_CP014234.1,1.01,0.04,,12068076,1.54,0.02
IMP-46,App2_pt88_culture,IMP beta-lactamase,ARO:3002237,carbapenem; cephalosporin; cephamycin; penam; penem,beta-lactam antibiotic,antibiotic inactivation,protein homolog,0,,,,,235.0,ARO:3002237|ID:4682|Name:IMP-46|NCBI:NG_064725.1,10.19,0.56,,12068076,90.69,0.22
PC1 beta-lactamase (blaZ),App2_pt88_culture,BlaZ beta-lactamase,ARO:3000621,penam,beta-lactam antibiotic,antibiotic inactivation,protein homolog,1,Strict,99.6454,96.8,Unknown taxonomy (chromosome or plasmid),4328.0,ARO:3000621|ID:726|Name:PC1_beta-lactamase_(blaZ)|NCBI:CP000732.1,100.0,479.18,Staphylococcus aureus (chromosome or plasmid): 104; Staphylococcus aureus (plasmid): 180; Staphylococcus (chromosome): 2; ,12068076,1670.3,184.93
Staphylococcus aureus LmrS,App2_pt88_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004572,macrolide antibiotic; aminoglycoside antibiotic; oxazolidinone antibiotic; diaminopyrimidine antibiotic; phenicol antibiotic,oxazolidinone antibiotic; aminoglycoside antibiotic; macrolide antibiotic; phenicol antibiotic; diaminopyrimidine antibiotic,antibiotic efflux,protein homolog,1,Strict,99.7921,99.17,Staphylococcus aureus (chromosome),900.0,ARO:3004572|ID:3276|Name:Staphylococcus_aureus_LmrS|NCBI:CP000046.1,100.0,57.17,Staphylococcus aureus (chromosome): 92; ,12068076,347.34,22.06
Staphylococcus aureus gyrA conferring resistance to fluoroquinolones,App2_pt88_culture,fluoroquinolone resistant gyrA,ARO:3003296,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target alteration,protein variant,1,Strict,99.8874,99.77,Staphylococcus aureus (chromosome or plasmid),,,,,,12068076,0.0,0.0
Staphylococcus aureus norA,App2_pt88_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3004667,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic efflux,protein homolog,1,Perfect,99.7429,100.0,Staphylococcus aureus (chromosome),793.0,ARO:3004667|ID:3367|Name:Staphylococcus_aureus_norA|NCBI:D90119.1,100.0,63.12,Staphylococcus aureus (chromosome): 61; ,12068076,306.04,24.36
Staphylococcus aureus parC conferring resistance to fluoroquinolones,App2_pt88_culture,fluoroquinolone resistant parC,ARO:3003312,fluoroquinolone antibiotic,fluoroquinolone antibiotic,antibiotic target alteration,protein variant,1,Strict,99.8752,99.88,Staphylococcus aureus (chromosome),,,,,,12068076,0.0,0.0
arlR,App2_pt88_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000838,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Perfect,99.5455,100.0,Staphylococcus aureus (chromosome),376.0,ARO:3000838|ID:1390|Name:arlR|NCBI:CP023390.1,100.0,51.44,Staphylococcus aureus (chromosome): 120; Staphylococcus (chromosome): 6; ,12068076,145.11,19.85
arlS,App2_pt88_culture,major facilitator superfamily (MFS) antibiotic efflux pump,ARO:3000839,fluoroquinolone antibiotic; disinfecting agents and antiseptics,fluoroquinolone antibiotic; disinfecting agents and antiseptics,antibiotic efflux,protein homolog,1,Perfect,99.7788,100.0,Staphylococcus aureus (chromosome),851.0,ARO:3000839|ID:182|Name:arlS|NCBI:CP000253.1,100.0,59.28,Staphylococcus aureus (chromosome): 106; Staphylococcus epidermidis (chromosome): 1; Staphylococcus (chromosome): 7; ,12068076,328.43,22.88
cfrC,App2_pt88_culture,Cfr 23S ribosomal RNA methyltransferase,ARO:3004146,lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic; phenicol antibiotic,phenicol antibiotic; lincosamide antibiotic; streptogramin antibiotic; oxazolidinone antibiotic,antibiotic target alteration,protein homolog,0,,,,,5.0,ARO:3004146|ID:2800|Name:cfrC|NCBI:AM412317.1,1.84,0.09,,12068076,1.93,0.03
